fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
03/11/2022;64738;FUNDO;SMG-875;Cajamarca, Perú;Propia;675,00;675,00;100%;1;0;10,340;6:30:00;S/ 283,44;13:45:00;7:15:00;67456;67761;305;29,50;;;;;;;;;
03/11/2022;0;RECOJO;SMG-875;Cajamarca, Perú;Propia;0,00;0,00;0%;0;0;0,980;0:00:00;S/ 0,00;0:00:00;0:00:00;67761;67790;29;29,59;;576;;;;;;;
03/11/2022;64737;FUNDO;KLM-532;Trujillo,  Perú;Propia;10400,00;10400,00;100%;1;0;23,24;5:08:00;S/ 0,00;18:45:00;13:37:00;568272;568597;325;13,99;;;;;;;;;
04/11/2022;64879;FUNDO;SMG-875;Cajamarca, Perú;Propia;2135,00;2135,00;100%;4;0;4,230;7:45:00;S/ 868,79;13:07:00;5:22:00;67790;67899;109;25,77;;;;;;;;;
04/11/2022;64917;LOCAL;SMG-875;Cajamarca, Perú;Propia;3381,10;3281,10;97%;16;1;0,850;15:20:00;S/ 1.079,60;19:05:00;3:45:00;67899;67921;22;25,88;;;;;;;;;
04/11/2022;64876;LOCAL;BRL-549;Chiclayo, Perú;Propia;5249,40;5249,40;100%;12;0;1,48;8:40:00;S/ 2.108,16;12:00:00;3:20:00;174945;174977;32;21,58;;;;;;;;;
04/11/2022;64924;LOCAL;BRL-549;Chiclayo, Perú;Propia;1629,80;1629,80;100%;16;0;1,62;15:40:00;S/ 700,28;18:13:00;2:33:00;174977;175012;35;21,59;;;;;;;;;
04/11/2022;64885;LOCAL;KLM-532;Trujillo,  Perú;Propia;8011,00;8011,00;100%;3;0;3,271;9:55:00;S/ 2.936,58;13:50:00;3:55:00;568597;568633;36;11,01;;;;;;;;;
04/11/2022;64877;LOCAL;DIP-028;Chiclayo, Perú;Propia;5060,00;5060,00;100%;7;0;0,64;8:42:00;S/ 1.265,00;12:55:00;4:13:00;96348;96365;17;26,56;;;;;;;;;
04/11/2022;64911;LOCAL;DIP-028;Chiclayo, Perú;Propia;2102,70;2102,70;100%;4;0;0,64;14:30:00;S/ 1.072,04;16:53:00;2:23:00;96365;96382;17;26,56;;;;;;;;;
04/11/2022;64938;LOCAL;DIP-028;Chiclayo, Perú;Propia;880,00;880,00;100%;1;0;0,64;17:06:00;S/ 219,99;18:00:00;0:54:00;96382;96399;17;26,56;;;;;;;;;
04/11/2022;64878;OLMOS;PMN-125;Trujillo,  Perú;Propia;600,00;600,00;100%;2;0;11,460;5:47:00;S/ 300,00;18:40:00;12:53:00;73269;73600;331;28,88;;;;;;;;;
04/11/2022;009-041290/009-041616;TOTTUS;AKM-892;Piura, Perú;Propia;0,01;0,01;100%;1;0;6,336;0:00:00;S/ 0,00;0:00:00;0:00:00;141205;141327;122;19,26;;;;;;;;;
04/11/2022;009-041291/009-041292;TOTTUS;M14-016;Chiclayo, Perú;Propia;0,01;0,01;100%;1;0;4,190;7:38:00;S/ 0,00;15:43:00;8:05:00;187632;187717;85;20,29;;;;;;;;;
04/11/2022;0;RECOJO;M14-016;Chiclayo, Perú;Propia;0,00;0,00;0%;0;0;0,740;16:32:00;S/ 0,00;18:00:00;1:28:00;187717;187732;15;20,27;;;;;;;;;
